,job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,job_duration_as_permanent_worker,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Avg_achievement_%,Last_achievement_%,Achievement_above_100%_during3quartal,achievement_target_1,achievement_target_2,achievement_target_3,Employee_type_A,Employee_type_B
12,4,1.83,3,1.83,0.5,0,32,1,0,4,3.31,6.0,6,5,5,0,4,0,72.72333333333334,74.18,0.0,2,1,1,1,0
13,4,1.67,3,1.67,0.5,1,32,1,0,4,3.5,5.0,5,2,2,1,6,0,58.31666666666666,61.03,0.0,2,1,0,1,0
14,4,8.0,4,5.0,2.42,0,40,1,2,4,3.26,22.0,22,9,12,0,9,0,52.2,62.28,0.0,2,1,0,1,0
15,4,1.17,3,1.17,0.5,1,31,1,0,4,3.0,3.0,3,2,2,0,1,3,44.73,44.05,0.0,1,1,1,0,1
16,4,0.17,3,0.17,1.42,0,35,1,2,4,3.09,5.0,5,4,4,0,2,4,54.51,60.0,0.0,1,1,1,0,1
17,5,1.58,5,1.58,2.5,1,40,1,2,4,3.31,15.0,16,11,6,4,4,0,88.84333333333332,99.54,2.0,3,1,1,1,0
18,4,1.5,3,1.5,0.17,1,34,0,0,4,3.03,5.0,5,2,3,0,0,0,79.43333333333334,82.36,0.0,2,2,1,1,0
19,4,1.75,3,1.75,0.5,0,33,1,1,4,3.39,6.0,6,4,4,3,9,1,62.76,40.91,1.0,1,1,1,0,0
20,4,1.92,3,1.92,1.5,1,45,1,1,4,0.0,6.0,6,5,4,15,2,0,81.47,93.66,1.0,3,1,1,1,0
21,4,1.75,3,1.75,0.5,1,30,1,1,4,3.43,3.0,3,3,4,0,3,4,44.90333333333334,46.0,0.0,0,1,1,1,0
22,4,1.92,3,1.92,1.25,1,36,1,0,4,0.0,6.0,6,3,3,0,9,3,63.13666666666668,56.63,0.0,2,1,0,0,0
23,4,1.33,3,1.33,1.17,1,31,0,0,4,0.0,2.0,2,2,2,0,6,0,22.066666666666666,39.37,0.0,1,1,1,0,1
24,4,1.92,3,1.92,0.5,1,36,1,1,4,3.14,7.0,7,5,4,1,5,0,110.45333333333332,110.3,3.0,2,3,1,1,0
25,4,1.67,3,1.67,2.42,1,30,1,0,4,3.0,3.0,3,2,4,0,3,5,48.95333333333334,53.6,0.0,2,1,1,1,0
26,4,1.58,3,1.58,2.5,1,34,1,0,4,0.0,5.0,5,4,4,4,4,0,57.61666666666667,62.37,0.0,2,1,0,1,0
27,4,1.17,3,1.17,2.5,1,33,1,0,4,3.24,6.0,6,2,2,1,3,1,63.6,81.19,0.0,2,2,0,1,0
28,4,1.75,3,1.75,1.5,0,37,1,2,4,2.95,5.0,5,2,2,4,3,0,94.27666666666666,92.58,3.0,2,4,0,1,0
29,5,1.0,5,1.0,2.5,1,39,1,0,4,3.15,12.0,13,7,8,5,2,2,63.72666666666667,70.73,0.0,2,1,0,1,0
30,5,7.17,6,2.0,5.5,0,54,1,1,4,3.09,30.0,30,8,7,0,3,4,102.55,109.24,3.0,2,4,1,1,0
31,5,4.33,6,1.0,2.42,0,48,1,3,4,3.25,25.0,25,5,9,0,10,3,93.08333333333331,102.18,2.0,2,2,1,0,0
32,4,2.75,3,2.75,1.5,1,36,1,2,4,3.21,6.0,6,7,3,0,6,5,107.26666666666668,111.71,3.0,2,4,1,1,0
33,4,1.58,3,1.58,0.5,1,35,1,1,4,2.88,5.0,5,3,2,0,3,0,68.72666666666667,76.87,0.0,2,1,0,1,0
34,4,1.5,3,1.5,2.33,1,31,1,1,4,0.0,4.0,4,5,3,0,4,0,67.44333333333333,75.21,0.0,2,1,1,1,0
35,4,1.58,3,1.58,0.5,0,34,0,0,4,3.16,5.0,5,2,4,2,3,0,50.53,52.86,0.0,1,1,1,0,1
36,4,1.17,3,1.17,0.5,1,31,1,1,4,0.0,3.0,3,2,2,0,6,1,50.8,56.15,0.0,0,1,1,0,1
37,4,1.5,3,1.5,1.5,1,31,1,0,4,3.0,3.0,3,2,2,0,0,0,93.25666666666666,89.82,3.0,3,4,0,1,0
38,4,1.67,3,1.67,1.17,1,32,1,0,4,3.34,3.0,3,3,3,0,5,3,43.95,51.95,0.0,2,1,1,0,1
39,4,1.83,3,1.83,0.5,0,36,1,2,4,3.16,6.0,6,4,3,0,3,2,46.71666666666667,49.21,0.0,1,1,1,0,1
40,4,1.25,3,1.25,1.42,1,32,1,0,4,2.81,3.0,3,2,2,0,9,0,13.143333333333333,13.27,0.0,1,1,1,0,1
41,4,1.58,3,1.58,0.0,1,32,0,0,4,3.34,5.0,5,4,2,1,0,0,109.20666666666666,101.96,3.0,2,3,1,1,0
42,4,8.0,4,4.5,1.5,1,39,1,1,4,3.6,14.0,14,5,5,1,2,1,81.34333333333333,82.52,1.0,3,1,1,1,0
43,4,1.92,3,1.92,0.75,1,32,1,2,4,3.11,3.0,3,3,2,0,1,0,82.33666666666666,89.97,1.0,2,2,1,1,0
44,4,1.75,3,1.75,1.5,1,28,0,0,4,3.23,2.0,2,2,3,0,4,1,27.45,41.71,0.0,2,1,1,1,0
45,4,2.83,4,0.5,1.0,1,33,1,1,4,3.15,5.0,5,4,5,3,2,0,73.1,105.22,1.0,2,2,1,0,0
46,4,1.5,3,1.5,1.5,1,37,1,0,3,2.72,6.0,6,3,2,0,3,0,69.93333333333334,79.03,0.0,2,1,1,0,1
47,4,1.42,3,1.42,0.5,1,32,1,1,4,3.26,4.0,4,2,2,0,4,0,97.36666666666666,101.19,3.0,2,2,1,0,1
48,4,1.92,3,1.92,2.5,1,34,1,1,4,0.0,5.0,5,2,2,3,6,0,66.29333333333334,66.12,0.0,3,1,1,1,0
49,4,1.83,3,1.83,0.5,1,36,1,2,4,3.17,5.0,5,4,3,0,4,0,82.04333333333334,90.66,1.0,4,1,1,1,0
50,4,1.25,3,1.25,0.5,1,35,1,0,4,3.51,4.0,4,3,2,5,3,0,50.23,56.16,0.0,2,1,1,1,0
51,4,1.67,3,1.67,0.5,1,31,0,0,4,3.01,4.0,4,3,3,0,3,0,39.72666666666667,46.54,0.0,3,1,0,1,0
52,4,1.33,3,1.33,1.17,1,31,1,1,4,0.0,2.0,2,2,2,0,4,1,32.34,50.76,0.0,3,1,0,0,1
53,4,1.92,3,1.92,3.42,0,30,1,0,4,3.33,3.0,3,1,2,0,10,1,84.51666666666667,89.1,1.0,2,2,1,0,1
54,4,2.5,3,2.5,1.25,1,39,1,1,4,2.81,6.0,6,4,4,6,11,0,77.94,78.85,0.0,2,2,1,1,0
55,4,1.83,3,1.83,2.5,0,34,1,0,4,3.55,3.0,3,2,2,0,4,0,48.28,59.19,0.0,2,1,0,0,1
56,4,1.75,3,1.75,0.5,0,35,1,2,4,2.95,6.0,6,6,4,3,8,1,73.23333333333333,73.98,0.0,3,1,1,1,0
57,4,1.83,3,1.83,0.5,1,31,1,1,4,3.0,2.0,2,2,2,0,5,0,52.16,56.79,0.0,2,1,1,0,1
58,4,1.83,3,1.83,0.0,1,35,1,2,4,3.1,6.0,6,5,4,1,2,3,63.04,65.21,0.0,2,1,0,0,1
59,4,1.83,3,1.83,3.5,1,32,0,0,4,3.52,4.0,4,3,3,0,2,4,53.9,59.7,0.0,2,1,1,0,1
60,4,1.75,3,1.75,3.0,0,32,0,0,4,0.0,3.0,3,1,3,0,8,0,22.3,40.86,0.0,1,1,1,1,0
61,4,1.92,3,1.92,0.42,0,35,1,0,4,3.15,5.0,5,5,3,0,0,0,94.29333333333334,110.97,2.0,2,3,1,0,1
62,4,2.92,3,2.92,0.5,1,37,1,2,4,0.0,7.0,7,7,6,6,4,3,66.55,75.47,0.0,1,2,1,1,0
63,4,5.92,4,1.0,2.5,0,39,1,2,4,3.22,16.0,16,5,8,0,12,2,67.33333333333333,77.26,0.0,2,2,1,1,0
64,4,1.75,3,1.75,0.25,1,31,0,0,4,0.0,3.0,3,2,2,2,9,0,64.00666666666667,67.59,0.0,2,1,1,1,0
65,4,1.75,3,1.75,0.5,1,34,1,2,4,0.0,6.0,6,3,3,3,1,0,90.73666666666668,120.65,1.0,2,4,1,1,0
66,5,8.0,6,5.0,2.5,1,53,1,0,4,0.0,22.0,22,13,8,5,4,0,47.89666666666667,59.23,0.0,2,1,1,1,0
67,4,5.5,4,1.5,1.0,1,41,0,0,4,3.23,13.0,14,10,6,0,0,7,56.77666666666667,68.4,0.0,2,1,1,1,0
68,4,1.58,3,1.58,1.0,1,34,1,1,4,3.54,6.0,6,4,3,3,0,0,86.39999999999998,91.82,1.0,3,1,1,1,0
69,4,2.75,3,2.75,1.5,1,32,1,0,4,3.63,6.0,6,3,3,0,1,1,80.46333333333331,90.1,1.0,3,2,1,1,0
70,4,1.67,3,1.67,1.5,0,36,1,2,4,3.34,6.0,6,3,3,0,4,0,78.01,81.25,0.0,2,1,1,1,0
71,4,2.5,3,2.5,1.5,1,33,1,0,3,0.0,6.0,6,3,4,8,3,0,93.86666666666666,98.05,3.0,2,4,1,1,0
72,4,1.92,3,1.92,1.0,1,34,1,1,3,2.95,4.0,4,2,4,0,3,0,75.9066666666667,78.44,0.0,2,1,1,1,0
73,5,8.0,6,5.0,0.5,1,47,1,0,4,3.06,20.0,20,8,6,2,0,0,60.90666666666666,68.47,0.0,3,1,1,1,0
74,4,1.92,3,1.92,2.5,1,30,1,2,4,3.58,5.0,5,2,2,0,3,0,44.18666666666667,46.45,0.0,2,1,1,0,1
75,4,1.92,3,1.92,3.5,1,35,0,0,4,2.71,5.0,5,2,2,1,5,0,66.71666666666667,78.33,0.0,3,1,1,1,0
76,4,2.33,3,2.33,2.33,0,35,1,1,4,0.0,7.0,7,5,4,3,0,1,98.4,109.11,3.0,4,2,1,1,0
77,4,1.67,3,1.67,0.5,1,34,1,3,3,3.02,7.0,7,5,4,19,0,0,87.11333333333334,92.6,2.0,4,1,0,1,0
78,4,1.83,3,1.83,1.42,1,34,1,1,4,3.13,6.0,6,2,4,4,8,0,91.51,92.29,3.0,2,2,1,1,0
79,4,1.92,3,1.92,0.5,1,32,1,0,4,2.81,6.0,6,3,2,0,1,0,100.72666666666667,104.18,3.0,3,4,1,1,0
80,4,1.83,3,1.83,1.5,1,33,1,1,3,2.83,6.0,6,3,2,0,0,0,63.69666666666666,64.16,0.0,2,1,0,1,0
81,4,1.33,3,1.33,0.5,0,36,1,1,4,3.4,4.0,4,2,2,0,4,0,84.01666666666667,90.0,2.0,2,3,0,0,1
82,4,2.0,3,2.0,1.5,1,32,1,1,4,3.01,6.0,6,5,3,2,5,0,58.35666666666666,62.7,0.0,0,1,1,1,0
83,4,1.83,3,1.83,1.5,1,33,1,2,3,2.83,5.0,5,3,3,0,3,0,80.61333333333334,79.79,0.0,2,2,1,1,0
84,4,2.17,3,2.17,2.17,1,32,1,1,4,0.0,5.0,5,3,2,10,5,2,74.8,56.95,1.0,1,1,1,1,0
85,4,1.5,3,1.5,0.5,1,32,0,0,3,0.0,3.0,3,2,2,0,5,0,25.04333333333333,43.01,0.0,1,1,1,1,0
86,4,1.92,3,1.92,1.75,1,35,1,2,4,3.1,6.0,6,3,4,3,7,0,51.10333333333333,44.94,0.0,1,1,0,1,0
87,4,1.83,3,1.83,0.5,1,30,1,1,4,3.21,5.0,5,4,3,6,4,1,59.69666666666666,68.4,0.0,2,1,1,0,0
88,4,1.92,3,1.92,0.5,0,37,1,1,4,2.6,6.0,6,3,4,0,1,4,107.71333333333332,115.7,3.0,3,3,1,1,0
89,4,8.0,4,1.5,2.5,1,40,1,2,4,2.92,12.0,13,8,7,0,6,0,70.25666666666666,92.16,1.0,2,2,1,1,0
90,4,2.08,3,2.08,1.25,1,32,1,1,3,0.0,3.0,3,2,2,5,2,0,42.816666666666656,60.36,0.0,2,1,1,0,1
91,4,2.5,3,2.5,2.5,1,31,1,1,3,0.0,5.0,5,2,2,3,5,0,68.89,72.35,0.0,3,1,1,1,0
92,4,1.17,3,1.17,0.5,0,30,1,1,4,0.0,3.0,3,2,2,0,3,4,63.465,69.6,0.0,2,1,1,0,1
93,4,1.92,3,1.92,2.75,1,33,0,0,4,3.24,3.0,3,1,3,1,9,2,73.04,84.26,0.0,2,2,1,1,0
94,4,1.5,3,1.5,0.0,1,34,1,1,4,0.0,6.0,6,6,6,0,3,1,58.32333333333333,59.52,0.0,2,1,1,0,1
95,4,1.25,3,1.25,2.25,0,31,1,2,3,2.99,6.0,6,3,3,6,11,0,65.52,72.93,0.0,1,1,1,1,0
96,4,8.0,4,3.0,0.5,0,53,1,1,4,3.5,28.0,28,8,9,0,4,4,68.61666666666666,76.96,0.0,2,1,1,1,0
97,5,0.67,5,0.67,4.42,0,40,1,3,5,3.43,15.0,15,9,7,1,1,0,81.6,80.03,0.0,2,1,1,1,0
98,4,1.67,3,1.67,1.5,0,34,1,2,4,3.39,6.0,6,3,4,2,3,2,74.72666666666667,80.18,0.0,2,1,1,0,0
99,4,2.5,3,2.5,2.5,1,33,1,1,4,3.17,6.0,6,3,3,0,2,0,56.76,54.57,0.0,2,1,0,1,0
100,4,1.58,3,1.58,0.5,1,31,1,1,4,3.43,3.0,3,2,3,0,5,1,31.11,29.93,0.0,1,2,1,1,0
101,4,2.0,3,2.0,0.5,1,38,0,0,4,0.0,5.0,5,3,3,0,1,0,72.54,76.09,0.0,2,1,1,1,0
102,4,2.75,3,2.75,0.42,1,32,1,2,3,3.04,5.0,5,6,3,0,4,2,23.25,49.75,0.0,3,1,0,1,0
103,4,1.5,3,1.5,1.5,1,30,1,1,4,3.02,3.0,3,2,2,0,5,0,45.03,48.66,0.0,1,1,1,0,1
104,4,2.08,3,2.08,1.5,1,35,1,2,4,3.07,6.0,6,6,3,2,6,0,60.13333333333333,57.05,0.0,2,1,1,1,0
105,4,1.92,3,1.92,0.5,1,35,1,1,3,2.86,3.0,3,3,4,0,9,7,77.22000000000001,82.05,0.0,3,1,1,0,1
106,4,0.5,3,0.5,0.25,1,33,1,0,4,3.07,6.0,6,3,3,0,0,0,101.58333333333331,105.98,3.0,1,4,1,1,0
107,4,1.92,3,1.92,0.5,1,31,1,0,4,2.89,3.0,3,2,3,0,3,0,59.20333333333334,65.27,0.0,3,1,1,1,0
108,4,1.92,3,1.92,0.5,0,35,0,0,4,2.69,6.0,6,5,5,1,0,0,46.55666666666667,48.08,0.0,1,1,1,1,0
109,4,1.5,3,1.5,2.5,1,32,1,1,4,3.33,3.0,3,1,2,1,8,0,24.31,46.91,0.0,2,1,1,0,1
110,4,1.83,3,1.83,0.0,0,31,1,0,4,3.41,5.0,5,2,2,0,10,12,67.91333333333334,63.23,0.0,2,1,0,1,0
111,4,2.83,3,2.83,0.5,1,35,1,2,3,3.38,6.0,6,3,3,0,1,0,74.58666666666666,87.65,1.0,3,1,1,1,0
112,4,1.83,3,1.83,0.83,1,31,1,1,4,0.0,4.0,4,3,3,0,3,5,52.96333333333333,61.5,0.0,3,1,1,1,0
113,4,1.83,3,1.83,0.5,1,33,1,1,4,2.95,4.0,4,3,3,5,1,0,53.223333333333336,62.52,0.0,2,1,0,0,1
114,4,2.75,3,2.75,1.5,0,37,1,3,4,3.53,6.0,6,3,2,0,0,0,76.01666666666667,85.36,1.0,2,1,0,1,0
115,4,2.17,3,2.17,1.5,1,36,1,2,4,3.32,6.0,6,3,2,1,4,0,58.85333333333333,58.13,0.0,2,1,0,1,0
116,5,8.0,6,1.0,3.17,1,49,1,1,4,3.0,24.0,24,11,6,0,0,2,65.82000000000001,65.68,0.0,2,1,0,1,0
117,4,2.0,3,2.0,0.5,1,34,1,1,4,3.25,5.0,5,3,3,0,5,0,72.89999999999998,97.67,1.0,3,2,1,1,0
118,4,1.58,3,1.58,1.5,1,35,1,1,4,0.0,6.0,6,3,4,0,1,0,73.38333333333333,82.55,0.0,2,1,1,1,0
119,4,1.17,3,1.17,2.25,1,34,1,1,4,3.15,6.0,6,3,3,1,2,0,52.09666666666666,51.35,0.0,2,1,0,0,1
120,4,2.08,3,2.08,0.5,1,30,1,1,4,3.42,5.0,5,4,2,4,6,0,61.64000000000001,66.36,0.0,2,1,1,1,0
121,4,1.58,3,1.58,0.5,1,34,1,1,4,3.25,7.0,7,6,3,0,8,1,62.91333333333333,94.02,1.0,4,2,0,1,0
122,4,1.92,3,1.92,2.5,1,32,1,1,4,0.0,4.0,4,2,3,0,3,0,58.58333333333334,66.38,0.0,2,1,1,1,0
123,4,8.0,4,5.5,1.75,1,44,1,1,4,0.0,22.0,22,11,9,15,5,0,69.44000000000001,73.29,0.0,2,1,1,1,0
124,4,1.92,3,1.92,0.5,1,29,1,1,4,3.0,3.0,3,3,3,0,6,0,51.28666666666667,55.17,0.0,2,1,1,0,1
125,4,1.42,3,1.42,2.42,1,31,1,1,4,3.1,5.0,5,3,3,10,1,0,83.30666666666667,101.42,1.0,2,3,1,1,0
126,4,1.92,3,1.92,1.5,1,32,0,0,4,0.0,5.0,5,3,2,15,3,0,69.14333333333333,73.65,0.0,2,1,1,1,0
127,4,4.75,4,1.5,0.5,1,39,0,0,4,3.31,15.0,16,9,7,0,6,0,73.52,76.42,0.0,2,1,1,1,0
128,4,1.58,3,1.58,0.92,1,34,1,1,4,3.44,6.0,6,4,4,0,2,2,74.02,89.54,1.0,2,1,1,1,0
129,4,1.92,3,1.92,0.5,0,35,1,1,4,3.0,5.0,5,5,2,0,7,3,88.73666666666668,89.11,3.0,3,1,1,1,0
130,4,2.17,3,2.17,0.5,1,31,1,1,3,2.89,6.0,6,7,4,0,3,1,73.42666666666666,80.83,0.0,2,1,1,0,1
131,4,1.83,3,1.83,2.5,0,31,1,1,4,3.39,4.0,4,2,2,0,3,0,58.09666666666667,54.78,0.0,2,1,1,0,1
132,4,1.42,3,1.42,0.42,0,32,1,1,4,0.0,3.0,3,3,3,0,1,10,13.41,13.82,0.0,1,1,1,0,1
133,4,1.83,3,1.83,0.5,0,32,0,0,4,3.13,4.0,4,3,3,0,0,1,90.03333333333335,75.06,2.0,3,1,1,0,1
134,4,1.83,3,1.83,2.5,1,36,1,2,4,2.98,6.0,6,2,3,0,2,0,64.28333333333333,62.17,0.0,2,1,1,1,0
135,4,1.17,3,1.17,2.5,1,38,1,0,4,3.25,6.0,6,2,3,0,6,2,88.78000000000002,90.17,3.0,2,2,1,1,0
136,5,8.0,6,8.0,1.5,1,56,1,2,4,0.0,29.0,29,11,7,3,10,0,86.14999999999998,74.66,2.0,2,2,0,1,0
137,4,7.25,4,4.0,1.5,1,35,1,1,4,3.35,7.0,7,4,3,0,3,2,54.0,71.84,0.0,2,2,0,1,0
138,4,1.58,3,1.58,1.5,1,39,1,2,4,3.12,6.0,6,3,5,0,5,5,96.24,105.93,3.0,2,2,1,1,0
139,5,1.5,5,1.5,2.42,1,39,1,1,4,3.27,13.0,14,7,8,10,3,0,67.27333333333333,84.45,0.0,2,1,1,1,0
140,4,1.17,3,1.17,2.5,1,31,1,2,4,3.4,3.0,3,2,2,0,0,3,48.91,58.01,0.0,2,1,0,0,1
141,4,2.08,3,2.08,0.25,1,37,1,1,4,0.0,6.0,6,3,4,0,4,0,110.82666666666668,112.11,3.0,3,4,1,1,0
142,4,1.75,3,1.75,2.42,1,33,1,3,4,0.0,5.0,5,2,2,3,3,0,87.39333333333332,92.56,2.0,2,4,0,1,0
143,4,1.92,3,1.92,0.5,1,31,1,2,4,3.53,4.0,4,2,3,0,12,0,80.68666666666667,104.48,1.0,2,3,0,1,0
144,4,1.5,3,1.5,0.5,1,31,1,1,4,3.0,3.0,3,2,2,0,3,1,13.06,13.06,0.0,0,1,1,0,1
145,4,2.08,3,2.08,1.5,1,33,0,0,4,3.18,5.0,5,4,3,0,6,1,51.33000000000001,60.11,0.0,2,1,1,1,0
146,4,1.67,3,1.67,0.5,0,35,1,0,4,3.25,6.0,6,4,2,0,4,0,91.87333333333332,92.68,3.0,3,1,1,0,1
147,4,1.5,3,1.5,1.5,0,35,0,0,4,3.56,6.0,6,3,4,0,2,1,47.58666666666666,68.52,0.0,1,2,1,0,1
148,4,1.17,3,1.17,0.33,1,34,0,0,4,2.97,3.0,3,3,2,0,5,2,38.66333333333333,42.19,0.0,2,1,1,0,1
149,4,2.0,3,2.0,2.0,1,31,1,0,4,3.2,5.0,5,3,3,0,7,0,63.21333333333333,71.43,0.0,1,4,1,1,0
150,4,1.17,3,1.17,1.0,1,32,1,1,4,0.0,3.0,3,2,2,0,0,0,23.41,40.67,0.0,2,1,0,0,1
151,5,8.0,6,8.0,0.25,1,53,1,2,4,3.24,31.0,31,8,9,4,0,0,95.63333333333333,97.21,3.0,2,4,0,1,0
152,4,1.83,3,1.83,0.5,1,32,0,0,4,3.51,4.0,4,3,4,0,3,0,108.27333333333335,110.79,3.0,2,4,1,1,0
153,4,2.58,3,2.58,2.17,1,33,1,2,4,3.31,6.0,6,3,2,0,11,0,87.85000000000002,83.47,2.0,4,1,1,1,0
154,4,1.92,3,1.92,0.5,1,41,1,1,4,3.14,15.0,16,9,13,0,3,0,75.48,85.19,1.0,3,1,1,1,0
155,4,2.58,3,2.58,0.5,1,38,1,2,4,3.14,6.0,6,3,5,0,3,3,64.99,72.95,0.0,2,1,1,1,0
156,4,1.58,3,1.58,1.5,0,34,1,1,4,3.75,6.0,6,4,3,4,10,5,84.80333333333333,92.58,1.0,2,3,0,0,1
157,4,1.42,3,1.42,0.25,0,31,0,0,4,2.7,4.0,4,3,4,0,5,0,51.80666666666667,70.03,0.0,2,1,1,1,0
158,4,2.0,3,2.0,0.5,0,33,1,1,4,0.0,5.0,5,3,2,1,2,0,67.63,63.15,0.0,2,1,0,1,0
159,4,1.17,3,1.17,1.5,1,34,1,1,4,3.45,4.0,4,3,4,0,0,0,71.67,79.3,0.0,3,1,1,1,0
160,5,6.25,6,1.5,0.5,1,34,1,1,3,3.73,8.0,8,8,4,0,8,0,68.08,71.52,0.0,2,1,1,1,0
161,4,1.83,3,1.83,0.5,1,33,1,2,3,3.47,6.0,6,4,3,0,3,0,80.45,87.05,1.0,2,2,0,1,0
162,4,1.92,3,1.92,0.5,0,37,1,2,4,0.0,6.0,6,5,4,1,4,1,54.62333333333334,60.54,0.0,2,1,1,1,0
163,4,1.67,3,1.67,3.58,1,30,1,1,4,3.01,5.0,5,2,3,0,1,1,74.62,72.82,0.0,3,1,0,1,0
164,4,1.67,3,1.67,0.42,1,37,1,1,4,3.29,6.0,6,5,4,0,7,0,91.84,100.79,3.0,3,2,1,0,1
165,4,1.67,3,1.67,1.5,1,30,0,0,4,3.17,3.0,3,2,2,0,1,0,74.05,81.03,0.0,2,1,1,0,1
166,4,1.75,3,1.75,2.5,1,34,1,1,4,2.98,5.0,5,4,3,2,3,0,89.21333333333332,99.9,2.0,4,2,1,1,0
167,4,1.75,3,1.75,0.5,1,37,1,0,4,2.74,6.0,6,4,3,0,2,5,91.68,97.13,3.0,2,4,1,1,0
168,4,1.83,3,1.83,0.5,1,33,0,0,4,0.0,5.0,5,3,3,0,3,0,106.44333333333331,103.44,3.0,2,3,1,0,0
169,4,1.92,3,1.92,1.5,1,31,1,1,4,2.76,3.0,3,3,3,0,1,0,41.26666666666666,56.26,0.0,2,1,0,0,1
170,4,1.17,3,1.17,2.33,0,36,1,1,4,0.0,2.0,2,1,2,0,5,0,13.03,13.03,0.0,1,1,1,0,1
171,4,1.92,3,1.92,0.5,1,35,1,1,3,2.89,4.0,4,3,3,1,2,0,50.92666666666667,47.56,0.0,2,1,0,1,0
172,4,1.92,3,1.92,1.0,0,31,1,2,4,0.0,4.0,4,2,3,1,6,2,72.26,72.83,0.0,2,1,1,1,0
173,4,1.25,3,1.25,0.5,0,34,1,2,4,3.23,3.0,3,2,2,0,6,2,53.27,82.67,0.0,2,1,1,0,1
174,4,1.83,3,1.83,0.5,1,33,1,1,4,3.15,6.0,6,4,4,0,4,11,51.223333333333336,54.91,0.0,2,1,1,1,0
175,4,1.92,3,1.92,0.5,0,37,1,2,4,0.0,6.0,6,3,2,1,3,2,103.71999999999998,102.81,3.0,2,4,0,1,0
176,4,1.42,3,1.42,1.5,1,32,0,0,4,0.0,3.0,3,2,2,0,3,4,85.7,85.7,1.0,2,2,1,0,1
177,4,2.42,3,2.42,0.17,1,35,1,2,4,2.89,7.0,7,4,4,0,0,0,58.13,64.03,0.0,2,1,1,1,0
178,4,2.08,3,2.08,0.5,1,34,1,2,4,3.01,4.0,4,2,2,0,2,0,89.25666666666666,87.39,3.0,2,2,1,1,0
179,4,1.83,3,1.83,2.5,1,36,1,2,4,3.19,6.0,6,3,3,1,4,4,64.48333333333333,61.93,0.0,2,1,0,1,0
180,4,1.17,3,1.17,1.5,0,33,1,2,4,0.0,4.0,4,2,2,0,5,6,71.13999999999999,74.21,0.0,2,2,0,0,1
181,4,1.92,3,1.92,1.5,0,36,1,1,4,0.0,4.0,4,3,3,0,3,0,61.79666666666666,67.7,0.0,2,1,1,1,0
182,4,1.83,3,1.83,0.5,1,32,0,0,4,3.12,2.0,2,2,3,0,3,3,21.21,37.43,0.0,2,1,0,1,0
183,4,1.92,3,1.92,1.25,1,32,1,1,4,2.96,4.0,4,2,2,10,7,0,63.57,77.39,0.0,2,1,1,1,0
184,4,1.83,3,1.83,0.5,1,34,1,1,4,3.35,6.0,6,5,3,0,5,0,48.99666666666667,55.48,0.0,3,1,1,1,0
185,4,1.5,3,1.5,1.5,1,35,0,0,4,3.27,4.0,4,3,2,0,0,2,85.07666666666667,97.65,1.0,3,3,0,1,0
