,Best Performance,job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,job_duration_as_permanent_worker,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Avg_achievement_%,Last_achievement_%,Achievement_above_100%_during3quartal,achievement_target_1,achievement_target_2,achievement_target_3,Employee_type_A,Employee_type_B
20,1,5,2.42,5,2.42,1.5,0,49,1,3,4,3.1773,24.0,24,10,9,0,6,2,111.9,112.1,3.0,2.0,3.0,1.0,1,0
21,0,5,2.75,6,0.0,0.5,0,51,0,0,4,3.1773,25.0,25,11,10,1,3,0,70.09,72.39,0.0,2.0,1.0,1.0,1,0
22,0,5,6.58,6,5.0,3.5,0,49,1,2,1,3.1773,29.0,29,12,6,0,3,0,83.81333333333333,91.7,1.0,2.0,2.0,1.0,1,0
23,0,5,8.0,6,5.5,0.5,1,50,1,2,4,2.7,17.0,22,10,6,8,4,0,60.90666666666666,64.79,0.0,2.0,1.0,1.0,1,0
24,0,4,1.83,3,1.83,0.5,1,35,1,1,4,3.1773,6.0,6,3,3,0,15,0,70.00999999999999,77.06,0.0,2.0,1.0,0.0,1,0
25,0,4,1.42,3,1.42,1.5,1,37,1,2,4,3.03,6.0,6,4,5,0,1,0,68.88666666666667,70.26,0.0,2.0,2.0,0.0,0,1
26,0,4,1.92,3,1.92,1.5,1,35,1,1,3,3.03,6.0,6,4,3,2,3,4,57.42666666666667,59.81,0.0,2.0,1.0,1.0,1,0
27,0,4,1.92,3,1.92,0.5,1,35,1,1,3,2.92,6.0,6,5,3,0,3,3,45.44,40.17,0.0,2.0,1.0,0.0,1,0
28,1,4,1.75,3,1.75,2.5,1,33,1,1,4,3.44,6.0,6,4,4,0,5,0,83.30333333333334,93.59,2.0,2.0,2.0,1.0,1,0
29,0,4,1.42,3,1.42,0.0,1,35,1,1,4,2.8,6.0,6,4,3,2,3,0,57.48333333333334,59.24,0.0,1.0,2.0,0.0,1,0
30,0,4,2.67,3,2.67,1.5,1,34,0,0,4,3.1773,6.0,6,4,2,0,2,0,99.03666666666668,110.09,3.0,3.0,2.0,1.0,0,1
31,1,4,2.33,3,2.33,1.5,1,35,1,1,4,2.8,6.0,6,3,3,4,2,0,58.21,66.8,0.0,3.0,1.0,1.0,1,0
32,1,4,2.67,3,2.67,1.5,1,30,1,0,3,3.23,6.0,6,4,3,0,2,0,71.88666666666667,74.36,0.0,3.0,1.0,1.0,1,0
33,0,4,1.92,3,1.92,1.0,1,37,1,1,4,2.85,6.0,6,5,3,2,0,0,67.86000000000001,68.4,0.0,2.0,1.0,1.0,1,0
34,0,4,1.92,3,1.92,1.5,1,34,1,1,4,3.03,5.0,5,3,3,0,2,3,58.09666666666666,61.6,0.0,2.0,1.0,1.0,1,0
35,0,4,1.33,3,1.33,0.0,1,35,1,0,4,3.1773,5.0,5,4,5,0,0,0,72.42,72.28,0.0,2.0,1.0,0.0,1,0
36,0,4,1.5,3,1.5,2.33,1,30,0,0,3,3.21,5.0,5,3,2,0,5,2,56.04333333333333,50.46,0.0,1.0,1.0,1.0,1,0
37,0,4,1.83,3,1.83,2.0,1,36,0,0,3,2.95,5.0,5,2,3,0,0,0,78.96333333333334,58.59,2.0,1.0,1.0,1.0,1,0
38,0,4,1.83,3,1.83,1.5,1,34,1,2,4,2.99,5.0,5,3,4,0,6,0,72.82666666666667,93.84,1.0,3.0,1.0,1.0,1,0
39,0,4,1.92,3,1.92,1.5,1,36,1,1,4,3.1,5.0,5,3,3,0,4,0,85.87,109.56,1.0,3.0,4.0,0.0,1,0
40,0,4,1.67,3,1.67,1.08,1,31,1,0,1,2.912,4.0,4,4,3,0,0,1,48.28666666666667,47.68,0.0,1.0,1.0,1.0,1,0
41,0,4,1.5,3,1.5,1.5,1,32,1,2,4,3.1773,4.0,4,3,3,0,6,6,71.72333333333334,74.92,0.0,2.0,1.0,1.0,1,0
42,0,4,1.83,3,1.83,0.33,1,33,1,1,4,3.1773,4.0,4,3,3,1,6,1,72.17,87.05,1.0,2.0,2.0,1.0,1,0
43,0,4,1.33,3,1.33,0.5,1,34,0,0,4,3.1773,4.0,4,2,2,0,3,0,77.65666666666667,77.87,0.0,1.0,1.0,1.0,1,0
44,0,4,1.58,3,1.58,0.5,1,28,1,1,4,3.1773,4.0,4,3,2,0,4,9,76.13333333333334,89.38,1.0,2.0,1.0,1.0,0,1
45,0,4,1.5,3,1.5,1.5,1,29,1,1,4,3.1773,4.0,4,2,2,0,5,0,56.36666666666667,64.52,0.0,2.0,1.0,1.0,0,1
46,1,4,1.83,3,1.83,0.5,1,31,1,1,4,3.1773,4.0,4,3,3,2,3,0,80.55666666666667,86.92,1.0,3.0,1.0,0.0,1,0
47,0,4,1.83,3,1.83,1.5,1,31,1,0,4,3.41,3.0,3,2,3,0,4,0,73.47333333333334,73.44,0.0,2.0,1.0,1.0,1,0
48,1,4,1.75,3,1.75,1.5,1,33,1,1,4,3.19,3.0,3,2,2,0,5,0,96.96999999999998,97.85,3.0,2.0,3.0,1.0,0,1
49,1,4,1.58,3,1.58,1.5,0,35,1,2,4,3.35,3.0,3,3,3,0,1,0,44.6,55.81,0.0,2.0,1.0,1.0,1,0
50,0,4,1.42,3,1.42,0.0,1,32,1,1,4,3.0,3.0,3,1,2,0,10,0,22.29333333333333,40.04,0.0,1.0,1.0,1.0,0,1
51,0,4,0.5,3,0.5,2.33,1,29,0,0,4,3.41,2.0,2,1,2,0,0,0,65.89,76.76,0.0,2.0,1.0,1.0,0,1
52,0,4,1.58,3,1.58,1.5,1,29,0,0,4,3.1773,3.0,3,3,3,0,0,0,39.11,65.22,0.0,2.0,2.0,1.0,1,0
53,0,4,1.5,3,1.5,1.92,1,31,1,1,4,3.1773,2.0,2,1,2,0,1,1,20.0,20.0,0.0,1.0,1.0,0.0,0,1
54,0,4,2.0,3,2.0,0.92,1,35,1,1,4,3.1773,6.0,6,2,3,1,2,0,85.76333333333334,82.31,1.0,2.0,1.0,1.0,1,0
55,0,4,2.08,4,0.0,2.5,1,32,1,1,4,3.34,5.0,5,2,2,4,7,0,76.76333333333334,77.01,0.0,4.0,1.0,1.0,1,0
56,0,5,6.58,6,5.33,3.17,0,50,1,1,1,3.1773,28.0,28,10,9,6,2,1,26.89,40.73,0.0,1.0,1.0,1.0,0,0
57,1,5,6.0,6,4.0,0.5,0,50,1,2,3,3.02,26.0,26,7,10,2,5,0,16.6,20.1,0.0,1.0,1.0,1.0,1,0
58,1,4,1.58,3,1.58,1.5,1,34,1,1,4,3.1773,6.0,6,3,2,0,9,6,111.95666666666666,110.63,3.0,3.0,4.0,1.0,0,1
59,0,4,1.83,3,1.83,0.5,1,35,1,2,4,3.1773,7.0,7,5,4,1,5,0,57.71666666666667,67.51,0.0,4.0,1.0,0.0,1,0
60,0,4,2.58,3,2.58,2.17,1,35,1,2,4,3.1773,7.0,7,4,5,8,5,0,101.74333333333334,120.02,2.0,2.0,4.0,1.0,1,0
61,0,4,1.83,3,1.83,0.5,1,34,1,1,4,3.1773,6.0,6,4,4,6,4,0,50.79,48.42,1.0,1.0,2.0,1.0,0,1
62,1,4,1.83,3,1.83,1.5,1,32,1,1,4,3.1773,5.0,5,3,3,0,10,1,75.7,80.87,0.0,2.0,1.0,1.0,0,1
63,0,4,1.83,3,1.83,0.5,1,31,1,1,4,3.1773,4.0,4,2,2,0,7,0,114.69333333333331,117.57,3.0,4.0,4.0,0.0,0,1
64,0,4,1.83,3,1.83,0.75,1,32,1,0,4,3.12,6.0,6,5,4,5,7,0,70.61666666666666,57.28,1.0,1.0,1.0,1.0,0,0
65,0,4,1.58,3,1.58,0.5,1,31,1,2,4,3.1773,4.0,4,3,2,0,6,4,102.77666666666669,106.56,3.0,2.0,4.0,1.0,0,1
66,0,4,1.75,3,1.75,0.0,1,34,1,0,4,3.1773,7.0,7,7,8,7,0,0,87.81666666666666,97.88,1.0,4.0,4.0,0.0,0,1
67,1,4,2.67,3,2.67,0.42,1,34,1,1,4,3.1773,6.0,6,4,6,10,3,0,91.61,90.62,3.0,2.0,1.0,1.0,0,0
68,1,4,1.58,3,1.58,0.5,1,34,1,2,4,3.1773,5.0,5,3,2,2,3,0,84.78333333333333,84.09,2.0,3.0,4.0,0.0,0,1
69,0,4,1.17,3,1.17,0.5,1,32,1,0,3,3.1773,2.0,2,2,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
70,0,4,1.75,3,1.75,2.33,1,35,1,2,4,3.1773,6.0,6,2,4,2,10,0,89.52999999999999,86.78,2.0,1.0,4.0,1.0,1,0
71,0,4,1.83,3,1.83,0.5,1,34,1,2,4,3.1773,6.0,6,4,5,0,3,0,106.17333333333332,104.42,3.0,2.0,4.0,0.0,0,1
72,0,4,1.75,3,1.75,0.5,1,30,1,0,4,3.1773,4.0,4,4,3,0,5,1,57.85666666666666,61.3,0.0,3.0,1.0,0.0,1,0
73,0,4,1.58,3,1.58,0.5,1,34,1,1,4,3.1773,6.0,6,4,4,10,0,0,76.10666666666667,104.36,1.0,2.0,3.0,1.0,0,1
74,0,4,1.75,3,1.75,1.5,1,31,1,1,4,3.1773,4.0,4,2,4,0,7,0,100.35333333333335,103.68,3.0,3.0,4.0,0.0,1,0
75,0,4,1.75,3,1.75,0.5,1,28,0,0,4,3.1773,4.0,4,3,5,0,3,0,78.70333333333333,83.28,1.0,2.0,4.0,0.0,1,0
76,0,4,1.75,3,1.75,0.92,1,34,1,1,4,3.1773,6.0,6,3,3,1,5,1,88.95333333333332,105.51,2.0,2.0,4.0,1.0,0,1
77,0,4,1.58,3,1.58,0.67,1,33,1,1,4,3.1773,6.0,6,5,2,0,9,0,38.01,33.54,0.0,2.0,1.0,1.0,0,1
78,1,4,1.83,3,1.83,0.5,1,28,0,0,4,3.1773,3.0,3,2,3,4,4,2,35.34333333333333,46.8,0.0,1.0,4.0,1.0,1,0
79,1,5,0.25,5,0.25,0.42,1,45,1,2,4,3.28,18.0,18,12,11,13,5,0,54.23666666666666,75.38,0.0,4.0,1.0,1.0,1,0
80,1,4,1.83,3,1.83,1.5,0,33,1,2,4,3.1773,4.0,4,2,2,0,5,0,13.0,13.0,0.0,0.0,0.0,0.0,0,1
81,0,4,1.17,3,1.17,1.5,1,31,1,2,3,3.1773,2.0,2,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0
82,0,4,0.75,3,0.75,0.92,1,31,1,1,3,3.1773,1.0,1,2,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
83,0,4,1.83,3,1.83,3.42,1,30,1,1,4,3.1773,7.0,7,3,3,3,0,1,46.973333333333336,43.55,0.0,3.0,1.0,0.0,0,1
84,0,4,1.83,3,1.83,0.5,1,34,1,2,4,3.1773,4.0,4,2,5,4,0,1,112.78333333333332,115.45,3.0,2.0,4.0,0.0,1,0
85,1,4,1.83,3,1.83,1.5,1,33,1,1,4,3.1773,4.0,4,3,4,1,9,0,77.46333333333331,88.79,1.0,2.0,2.0,0.0,0,1
86,1,5,5.0,6,3.0,3.17,0,49,1,2,3,3.14,22.0,22,9,7,4,4,0,25.495,37.8,0.0,1.0,1.0,0.0,0,0
87,0,4,1.83,3,1.83,0.92,1,40,1,0,4,3.1773,6.0,6,4,7,3,1,0,89.67,78.39,2.0,2.0,4.0,1.0,1,0
88,1,4,1.83,3,1.83,0.17,1,35,1,1,4,3.1773,5.0,5,4,6,18,5,0,83.06333333333333,107.13,2.0,1.0,4.0,1.0,0,1
89,1,4,1.83,3,1.83,1.5,0,28,0,0,3,3.1773,3.0,3,2,3,1,7,3,63.3,63.62,0.0,4.0,1.0,0.0,0,1
90,0,5,6.58,6,5.33,0.75,0,54,1,4,3,3.08,29.0,29,6,10,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
91,0,5,6.0,6,4.0,0.5,0,46,1,2,1,1.9444,25.0,25,5,8,2,0,3,74.43333333333334,110.98,2.0,3.0,2.0,1.0,1,0
92,0,4,2.67,3,2.67,1.5,1,33,1,1,4,3.1773,6.0,6,3,5,13,9,0,81.7,103.75,2.0,2.0,4.0,1.0,0,0
93,0,4,1.58,3,1.58,2.83,1,34,1,0,4,3.1773,6.0,6,3,4,0,16,0,96.07666666666668,94.94,3.0,3.0,2.0,1.0,1,0
94,0,4,1.83,3,1.83,4.0,1,32,1,0,4,3.1773,4.0,4,1,2,0,3,0,69.04333333333334,95.54,2.0,3.0,1.0,1.0,0,1
95,0,4,1.83,3,1.83,0.5,1,30,1,0,4,3.1773,3.0,3,4,3,1,8,2,89.14666666666666,79.35,1.0,1.0,2.0,1.0,0,1
96,1,4,1.83,3,1.83,1.5,1,30,1,1,4,3.1773,4.0,4,3,4,1,3,0,107.78666666666668,112.09,3.0,1.0,4.0,1.0,1,0
97,0,4,1.83,3,1.83,0.42,1,30,1,0,4,3.1773,3.0,3,4,3,0,4,1,69.76333333333334,83.1,0.0,2.0,1.0,1.0,0,1
98,0,5,7.25,6,4.5,0.17,1,52,1,3,4,2.93,22.0,22,12,8,7,5,0,43.33666666666666,43.72,0.0,2.0,1.0,0.0,1,0
99,0,4,2.83,3,2.83,0.17,1,33,0,0,4,3.1773,7.0,7,4,4,10,5,2,117.37666666666668,119.56,3.0,2.0,4.0,1.0,0,0
100,0,4,1.17,3,1.17,0.17,1,35,1,2,4,3.1773,6.0,6,7,3,2,3,0,97.57,103.11,3.0,3.0,3.0,0.0,0,1
101,0,4,1.58,3,1.58,0.17,1,33,1,1,4,3.1773,6.0,6,4,2,0,4,0,50.12000000000001,71.17,0.0,4.0,1.0,1.0,0,1
102,1,4,1.83,3,1.83,0.17,0,31,1,1,4,3.1773,5.0,5,3,2,1,0,4,62.18333333333334,65.12,0.0,2.0,1.0,1.0,0,1
103,0,4,1.75,3,1.75,0.17,0,27,1,0,4,3.1773,3.0,3,4,4,0,5,8,118.62666666666668,121.3,3.0,3.0,4.0,1.0,1,0
104,0,4,1.83,3,1.83,0.17,1,30,1,1,4,3.1773,2.0,2,2,2,1,8,0,25.403333333333336,49.77,0.0,2.0,1.0,1.0,0,1
105,0,4,1.17,3,1.17,0.17,0,33,0,0,4,3.1773,2.0,2,2,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
106,0,4,1.58,3,1.58,0.17,1,30,1,1,4,3.1773,4.0,4,4,3,2,8,3,83.89666666666666,81.39,1.0,2.0,1.0,0.0,1,0
107,1,4,1.83,3,1.83,0.25,1,31,0,0,4,3.1773,3.0,3,3,2,0,3,0,106.33,105.73,3.0,2.0,4.0,1.0,0,1
108,0,4,1.17,3,1.17,0.92,1,31,1,1,4,3.1773,2.0,2,2,3,0,5,0,51.27333333333333,127.74,1.0,4.0,4.0,1.0,1,0
109,0,5,4.5,6,2.5,3.17,0,38,1,2,4,3.1773,13.0,13,8,10,0,1,1,25.880000000000006,38.71,0.0,4.0,0.0,0.0,0,0
110,0,4,1.67,3,1.67,0.5,0,36,1,0,3,3.27,7.0,7,5,5,3,1,0,46.54666666666666,48.62,0.0,3.0,1.0,1.0,1,0
111,0,4,1.75,3,1.75,2.08,1,31,1,2,4,3.1773,5.0,5,3,2,1,6,0,77.02666666666667,49.45,1.0,2.0,1.0,1.0,0,1
112,0,4,1.83,3,1.83,1.75,1,31,1,1,4,3.1773,4.0,4,2,4,0,1,0,96.1,100.37,3.0,2.0,3.0,1.0,0,1
113,0,4,1.83,3,1.83,0.25,1,31,1,1,4,3.1773,5.0,5,7,5,2,6,0,57.69333333333333,53.0,0.0,3.0,1.0,1.0,0,1
114,0,4,1.75,3,1.75,0.25,1,31,1,1,4,3.1773,5.0,5,3,3,5,10,0,89.96333333333332,108.39,2.0,4.0,2.0,1.0,1,0
115,1,5,8.0,6,5.33,0.5,1,52,1,3,4,3.1773,23.0,23,10,8,13,4,0,23.173333333333336,23.23,0.0,2.0,0.0,0.0,1,0
116,0,4,1.75,3,1.75,0.83,1,35,1,1,4,3.1773,5.0,5,3,3,1,8,0,108.68666666666668,113.42,3.0,4.0,4.0,1.0,1,0
117,1,4,1.83,3,1.83,1.92,1,34,1,0,4,3.1773,5.0,5,3,2,7,3,0,26.236666666666668,25.25,0.0,0.0,0.0,1.0,0,1
118,0,4,1.58,3,1.58,1.5,0,32,1,1,4,3.1773,5.0,5,2,2,0,4,1,71.66000000000003,73.26,0.0,2.0,1.0,1.0,0,1
119,0,4,1.67,3,1.67,0.92,1,34,1,1,4,3.1773,3.0,3,4,3,0,3,7,59.26333333333334,60.26,0.0,2.0,1.0,1.0,1,0
120,0,4,1.17,3,1.17,0.5,1,33,1,1,3,3.1773,2.0,2,2,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
121,0,4,2.67,3,2.67,0.92,1,38,1,2,4,2.74,7.0,7,5,4,3,8,0,44.15333333333334,49.65,0.0,3.0,1.0,1.0,0,1
122,0,4,1.83,3,1.83,2.33,1,32,1,2,4,3.1773,5.0,5,3,4,5,6,1,67.13,91.3,2.0,3.0,3.0,1.0,0,1
123,1,4,1.75,3,1.75,0.42,1,32,0,0,4,3.1773,4.0,4,5,3,0,2,0,31.97666666666667,13.41,0.0,1.0,1.0,0.0,1,0
124,0,4,1.75,3,1.75,1.83,1,37,1,2,4,3.25,5.0,5,3,2,2,0,0,79.74666666666667,64.42,1.0,1.0,1.0,1.0,0,1
125,1,4,1.83,3,1.83,0.0,1,33,1,1,4,3.1773,4.0,4,5,5,3,5,6,102.08333333333331,106.48,2.0,3.0,1.0,0.0,1,0
126,0,4,2.83,3,2.83,2.67,1,35,0,0,4,3.29,7.0,7,4,4,6,4,1,68.97333333333334,76.53,0.0,2.0,2.0,1.0,0,0
127,0,4,1.83,3,1.83,1.42,1,35,0,0,3,2.8,6.0,6,4,4,0,4,14,71.56666666666666,73.66,0.0,3.0,1.0,0.0,0,1
128,0,4,1.75,3,1.75,1.83,1,33,1,1,4,3.47,5.0,5,2,2,0,5,1,77.92999999999998,65.6,1.0,2.0,1.0,0.0,1,0
129,0,4,1.75,3,1.75,1.42,1,29,1,1,4,3.1773,4.0,4,3,3,0,6,0,66.43333333333334,72.49,0.0,2.0,1.0,0.0,0,1
130,0,4,2.83,3,2.83,1.0,1,34,1,2,4,3.06,7.0,7,3,4,8,5,3,45.53333333333333,56.23,0.0,2.0,1.0,1.0,1,0
131,0,4,2.67,3,2.67,0.0,1,32,0,0,3,2.63,6.0,6,4,4,5,5,8,49.3,54.97,0.0,2.0,1.0,1.0,1,0
132,0,4,1.83,3,1.83,1.42,1,38,1,2,4,2.9,5.0,5,3,2,0,7,2,55.41333333333333,49.64,0.0,1.0,1.0,1.0,0,1
133,0,4,1.67,3,1.67,1.42,1,35,1,2,3,3.46,6.0,6,3,3,13,2,0,87.08999999999997,101.36,1.0,4.0,2.0,1.0,1,0
134,0,4,1.75,3,1.75,1.42,1,32,1,1,3,3.03,5.0,5,3,2,0,0,0,40.126666666666665,27.74,0.0,2.0,0.0,0.0,0,1
135,0,4,1.75,3,1.75,0.0,1,29,0,0,4,3.1773,3.0,3,2,2,3,4,2,63.03,62.17,0.0,3.0,1.0,0.0,1,0
136,1,4,1.75,3,1.75,0.75,1,31,0,0,4,3.1773,4.0,4,4,4,2,14,1,115.14666666666666,110.36,3.0,3.0,4.0,0.0,1,0
137,0,4,1.75,3,1.75,1.42,0,30,0,0,3,3.1773,3.0,3,2,2,0,8,0,63.44333333333333,62.83,0.0,2.0,1.0,0.0,1,0
138,1,4,8.0,4,8.0,2.5,0,51,1,2,4,3.1773,25.0,25,6,8,0,0,1,46.29666666666667,53.27,0.0,1.0,1.0,1.0,1,0
139,0,4,1.83,3,1.83,0.0,1,35,1,1,4,3.09,6.0,6,5,3,0,5,1,52.90333333333334,65.57,0.0,1.0,1.0,1.0,1,0
140,0,4,0.75,3,0.75,1.17,1,32,1,1,4,3.1773,1.0,1,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
141,0,4,1.75,3,1.75,0.0,1,37,1,1,3,2.76,6.0,6,4,4,12,3,2,83.34666666666669,84.43,1.0,3.0,1.0,1.0,1,0
142,0,4,1.83,3,1.83,1.42,1,33,0,0,4,3.1773,5.0,5,5,2,0,0,4,61.22,49.46,0.0,2.0,1.0,1.0,0,1
143,0,4,1.75,3,1.75,0.0,1,32,1,1,4,3.1773,5.0,5,3,4,1,6,1,50.9,47.73,0.0,2.0,1.0,0.0,0,1
144,0,4,1.75,3,1.75,1.42,1,30,0,0,4,3.1773,3.0,3,2,2,0,8,1,42.84666666666666,37.78,0.0,2.0,1.0,0.0,0,1
145,0,4,1.83,3,1.83,0.75,1,32,1,1,4,3.19,5.0,5,3,2,7,6,1,49.36666666666667,57.37,0.0,2.0,1.0,1.0,1,0
146,0,4,1.75,3,1.75,1.42,1,33,1,1,4,3.19,5.0,5,3,2,0,3,2,61.89666666666667,65.73,0.0,2.0,1.0,1.0,0,1
147,0,4,1.17,3,1.17,1.0,1,30,1,0,4,3.1773,2.0,2,2,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0
148,0,5,5.0,6,2.5,2.08,0,51,1,2,4,3.1773,24.0,24,7,7,9,9,2,40.73,41.87,0.0,1.0,1.0,1.0,1,0
149,0,4,1.83,3,1.83,1.0,1,33,1,1,4,3.17,5.0,5,3,2,4,2,0,100.29,108.74,3.0,4.0,4.0,1.0,1,0
150,0,4,2.0,4,2.0,0.42,1,47,1,3,1,3.1773,23.0,23,11,13,54,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
151,0,4,1.75,3,1.75,1.5,1,32,1,0,4,3.1773,6.0,6,3,2,0,7,1,113.24666666666668,117.43,3.0,3.0,4.0,1.0,0,1
152,0,4,2.67,3,2.67,0.92,1,32,1,0,4,3.1773,5.0,5,5,3,0,9,1,91.70666666666666,117.0,2.0,4.0,4.0,1.0,1,0
153,0,4,1.75,3,1.75,0.5,1,31,1,1,4,3.1773,5.0,5,2,4,0,10,13,109.52,111.6,3.0,3.0,4.0,1.0,1,0
154,0,4,1.75,3,1.75,2.5,1,33,1,0,4,3.1773,4.0,4,2,3,4,9,0,80.03333333333335,86.11,2.0,4.0,2.0,1.0,0,0
155,1,4,0.75,3,0.75,1.42,1,30,1,1,4,3.1773,1.0,1,1,3,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
156,1,4,0.75,3,0.75,0.42,1,29,1,1,4,3.1773,1.0,1,2,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
157,0,4,0.5,3,0.5,0.5,1,29,1,0,3,3.1773,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
158,1,5,8.0,6,8.0,2.5,1,56,1,3,3,2.9,32.0,32,5,5,11,14,0,102.68666666666668,117.0,2.0,4.0,4.0,1.0,1,0
159,1,4,1.83,3,1.83,1.92,0,34,1,0,4,3.1773,5.0,5,3,2,0,12,1,76.52333333333333,101.95,2.0,4.0,4.0,1.0,0,1
160,1,4,1.75,3,1.75,2.5,1,31,1,0,4,3.1773,5.0,5,3,2,4,5,0,102.65333333333332,117.0,2.0,4.0,4.0,1.0,1,0
161,1,4,1.75,3,1.75,0.25,1,34,1,2,4,3.1773,6.0,6,4,5,0,8,2,89.70333333333332,90.21,2.0,2.0,1.0,1.0,1,0
162,0,4,1.83,3,1.83,0.17,1,33,1,1,4,3.1773,6.0,6,4,4,22,13,0,75.89,74.2,0.0,2.0,1.0,1.0,1,0
163,1,4,1.75,3,1.75,0.5,1,31,1,2,4,3.1773,4.0,4,3,3,4,7,0,110.51,115.67,3.0,2.0,4.0,1.0,0,1
164,0,4,1.17,3,1.17,2.83,1,34,1,1,4,3.1773,3.0,3,1,2,7,7,4,78.40333333333334,127.0,1.0,4.0,4.0,1.0,1,0
165,1,4,1.75,3,1.75,0.5,1,31,1,0,4,3.1773,5.0,5,5,2,6,9,0,110.94666666666666,116.3,3.0,3.0,4.0,1.0,1,0
